Honda,Dates,Last Price
0,2013-11-01,35.38
1,2013-11-04,35.3535
2,2013-11-05,35.1771
3,2013-11-06,35.2036
4,2013-11-07,34.5065
5,2013-11-08,34.9565
6,2013-11-11,35.08
7,2013-11-12,35.3535
8,2013-11-13,35.98
9,2013-11-14,36.1123
10,2013-11-15,36.3241
11,2013-11-18,36.377
12,2013-11-19,36.1476
13,2013-11-20,36.3417
14,2013-11-21,37.4358
15,2013-11-22,37.674
16,2013-11-25,37.5946
17,2013-11-26,37.1534
18,2013-11-27,37.074
19,2013-11-29,37.374
20,2013-12-02,36.9505
21,2013-12-03,36.6329
22,2013-12-04,36.5358
23,2013-12-05,36.2447
24,2013-12-06,37.0034
25,2013-12-09,36.5711
26,2013-12-10,36.4388
27,2013-12-11,35.9447
28,2013-12-12,35.8123
29,2013-12-13,35.6006
30,2013-12-16,35.2653
31,2013-12-17,35.2036
32,2013-12-18,36.5623
33,2013-12-19,35.8653
34,2013-12-20,36.4388
35,2013-12-23,36.7211
36,2013-12-24,36.1741
37,2013-12-26,36.4431
38,2013-12-27,36.5672
39,2013-12-30,36.5406
40,2013-12-31,36.6558
41,2014-01-02,36.0707
42,2014-01-03,36.0707
43,2014-01-06,36.1683
44,2014-01-07,36.0885
45,2014-01-08,36.0353
46,2014-01-09,36.1062
47,2014-01-10,36.2037
48,2014-01-13,35.6541
49,2014-01-14,35.5389
50,2014-01-15,35.397
51,2014-01-16,35.397
52,2014-01-17,35.2463
53,2014-01-21,35.3084
54,2014-01-22,35.2109
55,2014-01-23,34.5194
56,2014-01-24,33.6861
57,2014-01-27,33.757
58,2014-01-28,33.7393
59,2014-01-29,33.8989
60,2014-01-30,33.8634
61,2014-01-31,33.2518
62,2014-02-03,32.3032
63,2014-02-04,31.8423
64,2014-02-05,31.8866
65,2014-02-06,31.8245
66,2014-02-07,32.4007
67,2014-02-10,32.3387
68,2014-02-11,32.5337
69,2014-02-12,32.9947
70,2014-02-13,32.8174
71,2014-02-14,32.578
72,2014-02-18,32.9504
73,2014-02-19,32.4451
74,2014-02-20,32.055
75,2014-02-21,32.0373
76,2014-02-24,32.0195
77,2014-02-25,32.1259
78,2014-02-26,31.9664
79,2014-02-27,32.2944
80,2014-02-28,31.9575
81,2014-03-03,32.2678
82,2014-03-04,32.7376
83,2014-03-05,32.7287
84,2014-03-06,33.0656
85,2014-03-07,32.906
86,2014-03-10,32.4185
87,2014-03-11,32.7021
88,2014-03-12,32.4096
89,2014-03-13,31.7713
90,2014-03-14,31.4433
91,2014-03-17,31.8245
92,2014-03-18,31.3458
93,2014-03-19,31.204
94,2014-03-20,31.0267
95,2014-03-21,31.0356
96,2014-03-24,30.4948
97,2014-03-25,30.7164
98,2014-03-26,30.7301
99,2014-03-27,30.8193
100,2014-03-28,31.078
101,2014-03-31,31.524
102,2014-04-01,31.3991
103,2014-04-02,31.6756
104,2014-04-03,31.747
105,2014-04-04,31.4348
106,2014-04-07,30.7212
107,2014-04-08,30.1146
108,2014-04-09,30.4982
109,2014-04-10,29.7221
110,2014-04-11,30.0968
111,2014-04-14,30.5071
112,2014-04-15,30.4
113,2014-04-16,30.8282
114,2014-04-17,30.4803
115,2014-04-21,30.1592
116,2014-04-22,30.0165
117,2014-04-23,30.1949
118,2014-04-24,30.0432
119,2014-04-25,29.4634
120,2014-04-28,29.1512
121,2014-04-29,29.2493
122,2014-04-30,29.7043
123,2014-05-01,30.0343
124,2014-05-02,30.0789
125,2014-05-05,30.1503
126,2014-05-06,30.0254
127,2014-05-07,29.9273
128,2014-05-08,29.4813
129,2014-05-09,29.3742
130,2014-05-12,29.3296
131,2014-05-13,30.1235
132,2014-05-14,29.8648
133,2014-05-15,29.4902
134,2014-05-16,29.7489
135,2014-05-19,27.5532
136,2014-05-20,29.9808
137,2014-05-21,30.2752
138,2014-05-22,30.5606
139,2014-05-23,30.962
140,2014-05-27,31.1137
141,2014-05-28,30.8639
142,2014-05-29,31.1047
143,2014-05-30,31.3813
144,2014-06-02,31.4615
145,2014-06-03,31.3813
146,2014-06-04,31.1315
147,2014-06-05,31.2475
148,2014-06-06,31.301
149,2014-06-09,31.2207
150,2014-06-10,31.0869
151,2014-06-11,31.1047
152,2014-06-12,30.9531
153,2014-06-13,30.9353
154,2014-06-16,30.9263
155,2014-06-17,30.9888
156,2014-06-18,31.2207
157,2014-06-19,31.8005
158,2014-06-20,31.7827
159,2014-06-23,31.3723
160,2014-06-24,31.1047
161,2014-06-25,31.301
162,2014-06-26,31.2382
163,2014-06-27,31.2741
164,2014-06-30,31.3997
165,2014-07-01,31.6151
166,2014-07-02,31.4446
167,2014-07-03,31.4087
168,2014-07-07,31.5613
169,2014-07-08,31.3997
170,2014-07-09,31.7766
171,2014-07-10,31.3997
172,2014-07-11,31.3728
173,2014-07-14,31.6061
174,2014-07-15,31.7407
175,2014-07-16,32.0279
176,2014-07-17,31.4985
177,2014-07-18,31.669
178,2014-07-21,31.651
179,2014-07-22,31.8125
180,2014-07-23,31.5433
181,2014-07-24,31.5254
182,2014-07-25,31.3997
183,2014-07-28,31.5702
184,2014-07-29,32.3241
185,2014-07-30,32.1625
186,2014-07-31,31.301
187,2014-08-01,31.0498
188,2014-08-04,30.96
189,2014-08-05,30.6998
190,2014-08-06,30.5652
191,2014-08-07,30.5023
192,2014-08-08,30.6908
193,2014-08-11,30.5293
194,2014-08-12,30.4306
195,2014-08-13,30.8164
196,2014-08-14,30.6011
197,2014-08-15,30.4754
198,2014-08-18,30.619
199,2014-08-19,30.5831
200,2014-08-20,30.5921
201,2014-08-21,31.1664
202,2014-08-22,30.8254
203,2014-08-25,30.96
204,2014-08-26,30.7626
205,2014-08-27,30.4665
206,2014-08-28,30.5741
207,2014-08-29,30.5562
208,2014-09-02,30.3049
209,2014-09-03,30.4754
210,2014-09-04,30.4126
211,2014-09-05,30.3767
212,2014-09-08,30.3767
213,2014-09-09,30.2331
214,2014-09-10,30.7177
215,2014-09-11,30.8703
216,2014-09-12,30.96
217,2014-09-15,30.96
218,2014-09-16,30.628
219,2014-09-17,30.4485
220,2014-09-18,30.9869
221,2014-09-19,30.9241
222,2014-09-22,31.0408
223,2014-09-23,30.7985
224,2014-09-24,31.1933
225,2014-09-25,30.9996
226,2014-09-26,31.0537
227,2014-09-29,30.7109
228,2014-09-30,30.9274
229,2014-10-01,30.4853
230,2014-10-02,28.8704
231,2014-10-03,29.3034
232,2014-10-06,29.52
233,2014-10-07,29.4027
234,2014-10-08,29.6463
235,2014-10-09,29.0057
236,2014-10-10,28.5997
237,2014-10-13,28.32
238,2014-10-14,28.4644
239,2014-10-15,28.1937
240,2014-10-16,27.887
241,2014-10-17,28.0855
242,2014-10-20,28.5185
243,2014-10-21,28.4644
244,2014-10-22,28.5276
245,2014-10-23,28.5276
246,2014-10-24,28.0313
247,2014-10-27,27.8058
248,2014-10-28,27.057
249,2014-10-29,27.6885
250,2014-10-30,28.4464
251,2014-10-31,28.9787
252,2014-11-03,29.2313
253,2014-11-04,27.9862
254,2014-11-05,28.5907
255,2014-11-06,28.5636
256,2014-11-07,28.5276
257,2014-11-10,28.4644
258,2014-11-11,27.9772
259,2014-11-12,28.1396
260,2014-11-13,28.4464
261,2014-11-14,28.8614
262,2014-11-17,28.4283
263,2014-11-18,28.5546
264,2014-11-19,28.0855
265,2014-11-20,28.1125
266,2014-11-21,28.6358
267,2014-11-24,28.5817
268,2014-11-25,28.6809
269,2014-11-26,27.9411
270,2014-11-28,27.3547
271,2014-12-01,27.5261
272,2014-12-02,27.7517
273,2014-12-03,28.1577
274,2014-12-04,28.1577
275,2014-12-05,28.0945
276,2014-12-08,27.5532
277,2014-12-09,27.9772
278,2014-12-10,27.1923
279,2014-12-11,27.1201
280,2014-12-12,26.4705
281,2014-12-15,26.1006
282,2014-12-16,26.0465
283,2014-12-17,26.8946
284,2014-12-18,27.1923
285,2014-12-19,27.3637
286,2014-12-22,27.2464
287,2014-12-23,27.2735
288,2014-12-24,27.3998
289,2014-12-26,27.5306
290,2014-12-29,27.2674
291,2014-12-30,26.868
292,2014-12-31,26.7954
293,2015-01-02,26.8589
294,2015-01-05,26.3052
295,2015-01-06,26.16
296,2015-01-07,26.4232
297,2015-01-08,26.7591
298,2015-01-09,26.6955
299,2015-01-12,26.6955
300,2015-01-13,27.0586
301,2015-01-14,27.458
302,2015-01-15,27.5034
303,2015-01-16,27.9935
304,2015-01-20,27.9391
305,2015-01-21,28.2205
306,2015-01-22,28.3929
307,2015-01-23,28.2931
308,2015-01-26,28.1932
309,2015-01-27,27.9845
310,2015-01-28,27.6668
311,2015-01-29,27.8029
312,2015-01-30,27.4308
313,2015-02-02,28.6743
314,2015-02-03,28.3475
315,2015-02-04,28.4292
316,2015-02-05,29.0374
317,2015-02-06,29.0737
318,2015-02-09,28.9829
319,2015-02-10,29.4912
320,2015-02-11,29.5003
321,2015-02-12,29.7091
322,2015-02-13,29.8362
323,2015-02-17,30.0722
324,2015-02-18,30.1811
325,2015-02-19,30.29
326,2015-02-20,30.4171
327,2015-02-23,30.2265
328,2015-02-24,30.1266
329,2015-02-25,30.2537
330,2015-02-26,30.5533
331,2015-02-27,30.0812
332,2015-03-02,30.1448
333,2015-03-03,30.1811
334,2015-03-04,30.0268
335,2015-03-05,30.172
336,2015-03-06,30.4262
337,2015-03-09,30.3717
338,2015-03-10,30.2446
339,2015-03-11,30.2991
340,2015-03-12,31.1342
341,2015-03-13,30.9436
342,2015-03-16,31.2522
343,2015-03-17,30.8709
344,2015-03-18,31.1705
345,2015-03-19,30.7893
346,2015-03-20,31.1886
347,2015-03-23,31.3248
348,2015-03-24,30.8891
349,2015-03-25,30.7802
350,2015-03-26,30.6147
351,2015-03-27,30.5326
352,2015-03-30,30.7242
353,2015-03-31,29.8938
354,2015-04-01,29.8482
355,2015-04-02,30.0854
356,2015-04-06,30.9432
357,2015-04-07,30.8063
358,2015-04-08,30.8519
359,2015-04-09,31.0983
360,2015-04-10,31.6276
361,2015-04-13,30.6786
362,2015-04-14,31.1987
363,2015-04-15,31.5819
364,2015-04-16,31.9926
365,2015-04-17,32.1021
366,2015-04-20,31.9469
367,2015-04-21,32.2298
368,2015-04-22,32.3667
369,2015-04-23,32.9416
370,2015-04-24,33.1788
371,2015-04-27,33.0511
372,2015-04-28,30.8063
373,2015-04-29,30.5508
374,2015-04-30,30.5964
375,2015-05-01,31.2261
376,2015-05-04,31.2443
377,2015-05-05,30.7972
378,2015-05-06,30.8611
379,2015-05-07,31.2169
380,2015-05-08,32.2755
381,2015-05-11,31.8739
382,2015-05-12,31.6093
383,2015-05-13,31.7188
384,2015-05-14,32.0108
385,2015-05-15,31.9378
386,2015-05-18,32.1203
387,2015-05-19,31.8101
388,2015-05-20,31.6184
389,2015-05-21,31.1531
390,2015-05-22,31.1348
391,2015-05-26,31.0071
392,2015-05-27,31.3356
393,2015-05-28,31.5637
394,2015-05-29,31.2261
395,2015-06-01,31.2717
396,2015-06-02,30.9341
397,2015-06-03,31.4816
398,2015-06-04,31.0527
399,2015-06-05,30.8702
400,2015-06-08,30.7333
401,2015-06-09,30.4869
402,2015-06-10,30.9341
403,2015-06-11,30.8976
404,2015-06-12,30.2588
405,2015-06-15,30.0398
406,2015-06-16,29.8573
407,2015-06-17,29.7569
408,2015-06-18,29.6839
409,2015-06-19,29.6383
410,2015-06-22,30.2314
411,2015-06-23,30.5782
412,2015-06-24,29.7387
413,2015-06-25,29.8938
414,2015-06-26,30.0033
415,2015-06-29,29.2003
416,2015-06-30,29.5653
417,2015-07-01,29.0908
418,2015-07-02,29.9656
419,2015-07-06,29.7729
420,2015-07-07,29.5893
421,2015-07-08,28.488
422,2015-07-09,28.7266
423,2015-07-10,29.0754
424,2015-07-13,29.1029
425,2015-07-14,29.4241
426,2015-07-15,29.5893
427,2015-07-16,29.47
428,2015-07-17,29.4884
429,2015-07-20,29.5526
430,2015-07-21,28.9102
431,2015-07-22,28.9744
432,2015-07-23,28.8551
433,2015-07-24,28.5339
434,2015-07-27,28.5889
435,2015-07-28,28.5981
436,2015-07-29,28.8459
437,2015-07-30,29.0478
438,2015-07-31,31.1679
439,2015-08-03,31.792
440,2015-08-04,31.7828
441,2015-08-05,32.1316
442,2015-08-06,32.6455
443,2015-08-07,32.3518
444,2015-08-10,32.6914
445,2015-08-11,32.0582
446,2015-08-12,31.6543
447,2015-08-13,31.7094
448,2015-08-14,31.278
449,2015-08-17,31.3147
450,2015-08-18,31.1587
451,2015-08-19,30.7365
452,2015-08-20,29.6994
453,2015-08-21,28.9193
454,2015-08-24,27.7629
455,2015-08-25,27.5151
456,2015-08-26,28.5339
457,2015-08-27,28.7908
458,2015-08-28,29.2956
459,2015-08-31,28.8918
460,2015-09-01,27.7354
461,2015-09-02,28.2769
462,2015-09-03,28.3962
463,2015-09-04,27.6253
464,2015-09-08,28.6715
465,2015-09-09,28.5155
466,2015-09-10,28.3228
467,2015-09-11,28.2126
468,2015-09-14,28.075
469,2015-09-15,28.5889
470,2015-09-16,29.4792
471,2015-09-17,29.2773
472,2015-09-18,28.6256
473,2015-09-21,28.7817
474,2015-09-22,28.231
475,2015-09-23,28.2402
476,2015-09-24,28.1759
477,2015-09-25,28.1929
478,2015-09-28,27.3713
479,2015-09-29,27.2144
480,2015-09-30,27.6021
481,2015-10-01,27.7036
482,2015-10-02,28.1744
483,2015-10-05,28.4791
484,2015-10-06,28.3867
485,2015-10-07,29.7715
486,2015-10-08,30.0023
487,2015-10-09,30.2053
488,2015-10-12,30.233
489,2015-10-13,29.7253
490,2015-10-14,29.3191
491,2015-10-15,29.8822
492,2015-10-16,29.993
493,2015-10-19,29.7161
494,2015-10-20,29.5407
495,2015-10-21,30.1869
496,2015-10-22,30.5008
497,2015-10-23,31.23
498,2015-10-26,31.2023
499,2015-10-27,30.8146
500,2015-10-28,31.23
501,2015-10-29,30.4454
502,2015-10-30,30.5838
503,2015-11-02,30.7408
504,2015-11-03,30.6946
505,2015-11-04,29.6238
506,2015-11-05,30.2884
507,2015-11-06,30.0115
508,2015-11-09,30.0392
509,2015-11-10,30.15
510,2015-11-11,30.0669
511,2015-11-12,29.7438
512,2015-11-13,29.6607
513,2015-11-16,30.1038
514,2015-11-17,29.9376
515,2015-11-18,30.2884
516,2015-11-19,30.4177
517,2015-11-20,30.2607
518,2015-11-23,30.1407
519,2015-11-24,30.3623
520,2015-11-25,30.0946
521,2015-11-27,30.1223
522,2015-11-30,30.1684
523,2015-12-01,30.7592
524,2015-12-02,30.3992
525,2015-12-03,30.0207
526,2015-12-04,30.1777
527,2015-12-07,30.1223
528,2015-12-08,29.6884
529,2015-12-09,29.6884
530,2015-12-10,29.5961
531,2015-12-11,28.9868
532,2015-12-14,29.1253
533,2015-12-15,29.1068
534,2015-12-16,30.27
535,2015-12-17,29.8822
536,2015-12-18,29.4853
537,2015-12-21,29.6422
538,2015-12-22,29.6976
539,2015-12-23,29.8915
540,2015-12-24,29.9099
541,2015-12-28,29.922
542,2015-12-29,30.0985
543,2015-12-30,29.7549
544,2015-12-31,29.6527
545,2016-01-04,28.7797
546,2016-01-05,28.5569
547,2016-01-06,28.0832
548,2016-01-07,27.396
549,2016-01-08,26.8295
550,2016-01-11,27.266
551,2016-01-12,27.7582
552,2016-01-13,27.5817
553,2016-01-14,27.8232
554,2016-01-15,26.9595
555,2016-01-19,27.071
556,2016-01-20,26.2537
557,2016-01-21,25.6501
558,2016-01-22,26.6716
559,2016-01-25,25.8916
560,2016-01-26,25.8823
561,2016-01-27,25.6315
562,2016-01-28,25.3994
563,2016-01-29,25.0929
564,2016-02-01,25.7523
565,2016-02-02,25.6594
566,2016-02-03,24.74
567,2016-02-04,24.8329
568,2016-02-05,24.1549
569,2016-02-08,24.0063
570,2016-02-09,23.5141
571,2016-02-10,23.5234
572,2016-02-11,23.0777
573,2016-02-12,23.347
574,2016-02-16,24.0806
575,2016-02-17,24.3685
576,2016-02-18,24.3778
577,2016-02-19,24.0806
578,2016-02-22,24.2478
579,2016-02-23,23.7835
580,2016-02-24,23.6813
581,2016-02-25,23.8113
582,2016-02-26,24.2199
583,2016-02-29,23.8763
584,2016-03-01,24.805
585,2016-03-02,25.1765
586,2016-03-03,25.7894
587,2016-03-04,26.0309
588,2016-03-07,25.8823
589,2016-03-08,25.5851
590,2016-03-09,25.678
591,2016-03-10,25.6687
592,2016-03-11,26.2166
593,2016-03-14,25.9473
594,2016-03-15,25.6687
595,2016-03-16,25.4551
596,2016-03-17,25.7058
597,2016-03-18,25.613
598,2016-03-21,25.7058
599,2016-03-22,25.6222
600,2016-03-23,25.1115
601,2016-03-24,24.7864
602,2016-03-28,25.3863
603,2016-03-29,25.6297
604,2016-03-30,25.2272
605,2016-03-31,25.5922
606,2016-04-01,24.6093
607,2016-04-04,24.497
608,2016-04-05,23.9915
609,2016-04-06,24.3941
610,2016-04-07,24.0383
611,2016-04-08,24.7123
612,2016-04-11,24.4689
613,2016-04-12,25.4612
614,2016-04-13,26.1071
615,2016-04-14,26.1164
616,2016-04-15,25.7794
617,2016-04-18,26.0977
618,2016-04-19,26.6781
619,2016-04-20,26.5751
620,2016-04-21,26.4347
621,2016-04-22,26.8185
622,2016-04-25,26.8559
623,2016-04-26,26.8746
624,2016-04-27,26.65
625,2016-04-28,25.4893
626,2016-04-29,25.2365
627,2016-05-02,25.3769
628,2016-05-03,25.0493
629,2016-05-04,24.7778
